experiment,learning_rate,seed,cumulative_model_error,maximum_model_error,proposal_mismatch_steps,final_model_error
H1a-noise,0.2,41071,6.266992199,1.290203599,7,0.020561707
H1a-noise,0.5,41071,2.583683552,0.839244667,2,0.07407507
H1a-noise,0.8,41071,1.87014808,0.372902676,1,0.092954903
H1a-noise,0.05,41072,19.625519911,1.533915498,20,0.56447523
H1a-noise,0.2,41072,6.479447363,1.337039738,7,0.020334892
H1a-noise,0.5,41072,2.236691797,0.882214286,2,0.072775199
H1a-noise,0.8,41072,1.517913726,0.376399785,1,0.115810002
H1a-noise,0.05,41073,19.380415734,1.507746579,20,0.576605379
H1a-noise,0.2,41073,6.117073833,1.216961839,7,0.037180431
H1a-noise,0.5,41073,1.976820815,0.668832561,1,0.026801771
H1a-noise,0.8,41073,1.374361734,0.302244772,1,0.013709837
H1a-noise,0.05,41074,19.617537008,1.519709245,20,0.576596458
H1a-noise,0.2,41074,6.609207405,1.287075861,7,0.001214179
H1a-noise,0.5,41074,2.197492558,0.840865609,2,0.051479274
H1a-noise,0.8,41074,1.616093633,0.412651964,1,0.07782787
H1a-noise,0.05,41075,19.789321762,1.529281432,20,0.577536502
H1a-noise,0.2,41075,6.712620805,1.309902542,7,0.003444642
H1a-noise,0.5,41075,2.334702699,0.837738949,2,0.016404055
H1a-noise,0.8,41075,1.41110164,0.351507906,1,0.019707263
H1a-noise,0.05,41076,19.341232893,1.508882003,20,0.557760947
H1a-noise,0.2,41076,6.205497656,1.261898665,8,0.014823767
H1a-noise,0.5,41076,2.103824556,0.779920395,2,0.037148091
H1a-noise,0.8,41076,1.264841873,0.288197075,0,0.041744604
H1a-noise,0.05,41077,19.060320543,1.489282856,20,0.555246514
H1a-noise,0.2,41077,5.837834653,1.195111608,7,0.006321571
H1a-noise,0.5,41077,1.624957412,0.677645007,2,0.050655073
H1a-noise,0.8,41077,1.127982001,0.180911299,0,0.075088969
H1a-noise,0.05,41078,19.543685723,1.52006345,20,0.569749993
H1a-noise,0.2,41078,6.357206176,1.284041963,7,0.007667562
H1a-noise,0.5,41078,2.252080524,0.790629031,2,0.009509383
H1a-noise,0.8,41078,1.648462644,0.290199578,0,0.002844417
H1a-noise,0.05,41079,19.545734237,1.510509286,20,0.559958112
H1a-noise,0.2,41079,6.56689118,1.260307514,7,0.043753676
H1a-noise,0.5,41079,2.494224223,0.813995679,2,0.118544993
H1a-noise,0.8,41079,1.789548668,0.38310891,1,0.162479108
H1a-noise,0.05,41080,19.328867713,1.526386894,20,0.560153584
H1a-noise,0.2,41080,5.95997255,1.285715596,6,0.014557775
H1a-noise,0.5,41080,2.060206433,0.773684849,2,0.078042656
H1a-noise,0.8,41080,1.575503209,0.246650087,0,0.126499725
H1a-noise,0.05,41081,19.351509692,1.49891952,20,0.576413414
H1a-noise,0.2,41081,6.385562842,1.240167385,7,0.035062058
H1a-noise,0.5,41081,2.111643768,0.79019164,2,0.018353817
H1a-noise,0.8,41081,1.336840985,0.32683801,1,0.006339077
H1a-noise,0.05,41082,19.984208689,1.542344976,20,0.603784466
H1a-noise,0.2,41082,7.029024066,1.329078933,7,0.056396153
H1a-noise,0.5,41082,2.552076349,0.873153817,2,0.044568904
H1a-noise,0.8,41082,1.826309553,0.402927918,1,0.05281904
H1a-noise,0.05,41083,19.452398343,1.527422817,20,0.561181377
H1a-noise,0.2,41083,6.187013549,1.307259082,7,0.005031189
H1a-noise,0.5,41083,2.170933129,0.8462244,2,0.013972227
H1a-noise,0.8,41083,1.461203043,0.351574276,1,0.015046989
H1a-noise,0.05,41084,19.44143205,1.515070824,20,0.563104571
H1a-noise,0.2,41084,6.370568163,1.293594479,7,0.010598889
H1a-noise,0.5,41084,2.066604379,0.84382397,2,0.048902804
H1a-noise,0.8,41084,1.18954597,0.366511585,1,0.063808156
H1a-noise,0.05,41085,19.481517988,1.525221579,20,0.56739398
H1a-noise,0.2,41085,6.170074028,1.288823078,7,0.007903347
H1a-noise,0.5,41085,2.131459803,0.812457262,2,0.009124469
H1a-noise,0.8,41085,1.553200369,0.322651093,1,0.021984456
H1a-noise,0.05,41086,19.269789563,1.503458728,20,0.565127623
H1a-noise,0.2,41086,6.059156275,1.237046878,7,0.01602949
H1a-noise,0.5,41086,1.794723201,0.731639539,2,0.021190941
H1a-noise,0.8,41086,1.274129723,0.250997122,0,0.056561198
H1a-noise,0.05,41087,19.608964131,1.515912943,20,0.57680561
H1a-noise,0.2,41087,6.451059547,1.242731262,7,0.004708078
H1a-noise,0.5,41087,2.042763682,0.719000368,2,0.025194247
H1a-noise,0.8,41087,1.268147204,0.209068588,0,0.003083152
H1a-noise,0.05,41088,19.780891528,1.537326071,20,0.580809085
H1a-noise,0.2,41088,6.60328852,1.316196551,7,0.011859238
H1a-noise,0.5,41088,2.029824805,0.834017843,2,0.012705262
H1a-noise,0.8,41088,1.215104705,0.335717708,1,0.001713212
H1a-noise,0.05,41089,19.679476871,1.5161457,20,0.57720865
H1a-noise,0.2,41089,6.72047605,1.277596346,8,0.001494516
H1a-noise,0.5,41089,2.362477632,0.813626511,2,0.060480837
H1a-noise,0.8,41089,1.56714259,0.331425525,1,0.091298363
H1a-noise,0.05,41090,19.280474538,1.501334009,20,0.564933052
H1a-noise,0.2,41090,6.224957513,1.250903585,7,0.004270687
H1a-noise,0.5,41090,2.005333557,0.792341355,2,0.020213031
H1a-noise,0.8,41090,1.483228916,0.322379351,1,0.008636961
H1a-noise,0.05,41091,19.331995813,1.49805496,20,0.578564607
H1a-noise,0.2,41091,6.239928276,1.203906718,7,0.035807366
H1a-noise,0.5,41091,1.71824693,0.674353251,1,0.001972093
H1a-noise,0.8,41091,0.998120696,0.183371019,0,0.041160188
H1a-noise,0.05,41092,19.400478431,1.497349331,20,0.574432912
H1a-noise,0.2,41092,6.329661909,1.208129809,7,0.019676065
H1a-noise,0.5,41092,1.91718327,0.666274163,2,0.006615016
H1a-noise,0.8,41092,1.297444759,0.240753906,0,0.003067564
H1a-noise,0.05,41093,19.320686524,1.518076072,20,0.558991003
H1a-noise,0.2,41093,6.062185641,1.296655277,7,0.000271225
H1a-noise,0.5,41093,2.313523458,0.855040114,2,0.028000607
H1a-noise,0.8,41093,1.361627305,0.387731584,1,0.061150094
H1a-noise,0.05,41094,19.513724667,1.519214246,20,0.579222792
