mechanism,severity,signed_parameter,mechanism_direction,seed,cumulative_model_error,maximum_model_error,proposal_mismatch_steps,final_model_error,observed_fraction_full_sequence,observed_fraction_evaluation_window
missingness,0.3,0.3,not_directional,52053,4.758259293,0.835638136,4,0.063717247,0.666666667,0.65
missingness,0.5,0.5,not_directional,52053,5.929446138,0.856433291,7,0.073336147,0.433333333,0.4
missingness,0.0,0.0,not_directional,52054,2.379693637,0.785606131,2,0.035829177,1.0,1.0
missingness,0.1,0.1,not_directional,52054,2.403137124,0.784683114,2,0.036050661,0.866666667,0.9
missingness,0.3,0.3,not_directional,52054,2.671494885,0.785057595,3,0.036011355,0.733333333,0.75
missingness,0.5,0.5,not_directional,52054,2.781040058,0.785280995,4,0.03604479,0.6,0.7
missingness,0.0,0.0,not_directional,52055,2.337894947,0.740684805,2,0.066171487,1.0,1.0
missingness,0.1,0.1,not_directional,52055,2.340985211,0.742319511,2,0.066171491,0.966666667,1.0
missingness,0.3,0.3,not_directional,52055,2.651769113,0.768980887,2,0.033340709,0.766666667,0.8
missingness,0.5,0.5,not_directional,52055,3.275510695,0.770175544,5,0.048820979,0.533333333,0.55
missingness,0.0,0.0,not_directional,52056,1.896129298,0.731372196,2,0.033456304,1.0,1.0
missingness,0.1,0.1,not_directional,52056,2.052002188,0.730565895,2,0.02980185,0.9,0.9
missingness,0.3,0.3,not_directional,52056,1.937110887,0.732131958,2,0.014480055,0.7,0.65
missingness,0.5,0.5,not_directional,52056,1.65967981,0.758898409,2,0.021043526,0.533333333,0.45
missingness,0.0,0.0,not_directional,52057,2.411754363,0.737905571,2,0.009020338,1.0,1.0
missingness,0.1,0.1,not_directional,52057,2.311710607,0.749912233,2,0.009792944,0.9,0.9
missingness,0.3,0.3,not_directional,52057,5.18754302,1.603079531,4,0.013849407,0.666666667,0.6
missingness,0.5,0.5,not_directional,52057,5.722678608,1.642536604,4,0.015379652,0.5,0.45
missingness,0.0,0.0,not_directional,52058,2.23070043,0.762559062,2,0.117968576,1.0,1.0
missingness,0.1,0.1,not_directional,52058,2.467785646,0.762559062,2,0.122458515,0.9,0.85
missingness,0.3,0.3,not_directional,52058,4.405283128,1.558869677,3,0.122363362,0.766666667,0.65
missingness,0.5,0.5,not_directional,52058,4.944700462,1.558898583,6,0.136077584,0.533333333,0.5
missingness,0.0,0.0,not_directional,52059,2.04069074,0.745223359,1,0.021615335,1.0,1.0
missingness,0.1,0.1,not_directional,52059,2.044495891,0.745312226,1,0.022107475,0.866666667,0.85
missingness,0.3,0.3,not_directional,52059,5.66540188,1.596680148,4,0.022637119,0.666666667,0.65
missingness,0.5,0.5,not_directional,52059,7.570167443,1.53935338,5,0.021875999,0.466666667,0.45
missingness,0.0,0.0,not_directional,52060,2.638573518,0.853554518,2,0.114445586,1.0,1.0
missingness,0.1,0.1,not_directional,52060,2.649937332,0.859237504,2,0.114445575,0.9,1.0
missingness,0.3,0.3,not_directional,52060,2.875287209,0.888146775,2,0.08954494,0.666666667,0.8
missingness,0.5,0.5,not_directional,52060,2.932544987,0.888146775,2,0.065777143,0.566666667,0.65
missingness,0.0,0.0,not_directional,52061,2.587687987,0.838105655,2,0.033909206,1.0,1.0
missingness,0.1,0.1,not_directional,52061,2.529241736,0.838105655,2,0.03403835,0.933333333,0.9
missingness,0.3,0.3,not_directional,52061,3.467744237,0.836296527,3,0.043579117,0.733333333,0.65
